,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,tristwch-y-fenywod,1,Tristwch y Fenywod,Tristwch y Fenywod,"Tristwch y Fenywod

              —
              Tristwch y Fenywod
            
              (Night School)",Night School,"An utterly addictive masterpiece of Welsh-sung queer goth folk, the debut recording by Gwretsien Ferch Lisbeth (Guttersnipe, The Ephemeron Loop), Leila Lygad (Hawthonn) and Sidni Sarffwraig (Slaylor Moon, The Courtneys) is among this decade’s most bewitching albums, bar none - unmissable for fans of Cranes, Dead Can Dance, Svitlana Nianio, Cocteau Twins' 'Head Over Heels', The Cure's 'The Top' era.

Under a handle translating to ‘The Sadness of Women’, Tristwch Y Fenywod... more",/products/tristwch-y-fenywod,https://assets.boomkat.com/spree/products/942990/product/Distribution_Preview_Tristwch-y-Fenywod_copy.jpg,2723,Somewhere Press,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2723
1,whowillyoulove,2,The Dengie Hundred with Gemma Blackshaw,Who Will You Love,"The Dengie Hundred with Gemma Blackshaw

            —
            Who Will You Love",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2723,Somewhere Press,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2723
2,all-at-once-0b8eb90f-ee08-454f-bb0e-7e91899790b5,3,Sunfear,All At Once,"Sunfear

              —
              All At Once
            
              (Dark Entries Records)",Dark Entries Records,,/products/all-at-once-0b8eb90f-ee08-454f-bb0e-7e91899790b5,https://assets.boomkat.com/spree/products/968389/product/198704256998.jpg,2723,Somewhere Press,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2723
3,a-soft-and-gatherable-star,4,Jabu,A Soft and Gatherable Star,"Jabu

              —
              A Soft and Gatherable Star
            
              (do you have peace?)",do you have peace?,"Jabu take a big leap skyward on a gorgeous new album of hazed dreampop and burnished bass inspired by classic Cocteau Twins via A.R. Kane - essential listening for fans of HTRK, Rat Heart Ensemble, YL Hooi.

Launching with a dampened crash and slo-mo thuds, 'Oceanside Spider House' is the ideal re-introduction to the Bristol trio of Amos Childs, Alex Rendall and Jasmine Butt, who built a cult following for their blown-out, hypnagogic dub diffractions on 2017's 'Sleep Heavy' for Blackest... more",/products/a-soft-and-gatherable-star,https://assets.boomkat.com/spree/products/960165/product/Distribution_Template_Jabu.jpg,2723,Somewhere Press,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2723
4,big-2007-facts,5,Spivak,Big 2007 Facts,"Spivak

              —
              Big 2007 Facts
            
              (Pyrgatory Studios)",Pyrgatory Studios,"In what’s turning out to be a bit of a banner year for the dreampop reboot, Maria Spivak returns with her most fully formed and rinsable release to date, echoing Treasure-era Cocteau Twins with added Mediterranean shimmer, a Jane’s addiction cover, plus a standout contribution from more eaze, among others. 

Maria Spivak showcases timelessly romantic pop shimmers across the eight songs of ‘Big 2007 Facts’, each steeped in classic 4AD, Oregonian grunge, and the natural... more",/products/big-2007-facts,https://assets.boomkat.com/spree/products/950571/product/cover.jpg,2723,Somewhere Press,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2723
5,princ-ss,6,Princ€ss,Princ€ss,"Princ€ss

              —
               Princ€ss
            
              (wherethetimegoes)",wherethetimegoes,"Bit of a special one this; described as an avant-pop supergroup involving “serious legends”, Princ€ss land a strong debut album of modified shoegaze x ambient chamber musick slotted somewhere between Hysterical Love Project, Kevin Shields, A.R. Kane and Astrid Sonne, and tipped if yr on the spectrum between any of those trip/dream-pop integers.

OK what’s the craic here, then? As far as we can tell, Princ€ss are somehow related to shadowy label wherethetimegoes and wish to... more",/products/princ-ss,https://assets.boomkat.com/spree/products/927710/product/Cover.jpg,2723,Somewhere Press,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2723
6,jazz-plates,7,Ulla & Perila,Jazz Plates,"Ulla & Perila

              —
              Jazz Plates
            
              (Paralaxe Editions)",Paralaxe Editions,"After many years drifting in and out of each-other’s orbit, ‘Jazz Plates’ finds Ulla and Perila making music in the same room for the first time, exhaling a double album’s worth of gorgeously evocative mood music, gently crackling with a dream-textured haze for the ages. It's remarkably intimate material, linking the duo's own hypnagogic portrait of jazz, in all its hushed permutations.

‘Jazz Plates’ catches the mutual spirits measuredly channelling their shared love of Alice Coltrane and Pharoah... more",/products/jazz-plates,https://assets.boomkat.com/spree/products/952315/product/PXE19_Cover.jpg,2723,Somewhere Press,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2723
7,petals-2eb5f123-afb1-4984-bc34-16a7c9f4020e,8,Warm Currency,Petals,"Warm Currency

              —
              Petals
            
              (Horn Of Plenty)",Horn Of Plenty,"Oh this is gorgeous; Warm Currency shimmer thru the folk mantle on 'Petals', returning to the excellent Horn of Plenty imprint with an intimate volume of soul-piercing preternatural spells that sublime dazed poetics, radio noise and found sounds in a mode that feels like a more autumnal, downcast companion to Jonnine’s ‘Southside Girl’ album from earlier this year, as well as those incredible Empress records no one ever seems to talk about anymore.

Matthew P. Hopkins and Mary... more",/products/petals-2eb5f123-afb1-4984-bc34-16a7c9f4020e,https://assets.boomkat.com/spree/products/966678/product/HOP31.jpg,2723,Somewhere Press,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2723
8,planet-inc,9,Florian T M Zeisig,Planet Inc,"Florian T M Zeisig

              —
              Planet Inc
            
              (STROOM)",STROOM,"Kelela producer, mattress afficionado and Enya fanatic Florian T M Zeisig makes his Stroom debut with 'Planet Inc', a cosmic ode to the cult '90s German TV show 'Space Night'. An afters gem, it mutates vaporous dub techno into undulating, glutinous ambience - one for fans of West Mineral, Jan Jelinek, 3XL and early Space Afrika, for sure.

Back in the early '90s, German TV channel Bayerischer Rundfunk replaced the nighttime test cards - the holding screens that were displayed when there... more",/products/planet-inc,https://assets.boomkat.com/spree/products/919608/product/STRCAS081.jpg,2723,Somewhere Press,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2723
9,the-light-was-sharp-our-eyes-were-open,10,PABLO'S EYE,"The light was sharp, our eyes were open","PABLO'S EYE

              —
              The light was sharp, our eyes were open
            
              (STROOM)",STROOM,"Enigmatic Brussels collective Pablo’s Eye reappear with a poetic transition between desert blues, ambient vignettes, adult contemporary, and machine driven hustle on a new LP for Stroom, RIYL This Mortal Coil, To Rococo Rot, Barbara Morgenstern, Daniel Lanois, classic 4AD.

Elusive as a dream, the 4th Pablo’s Eye release on Stroom also appears to be their first original suite for the label after a series of retrospective compilations. ‘The light was sharp, our eyes were open’ was composed... more",/products/the-light-was-sharp-our-eyes-were-open,https://assets.boomkat.com/spree/products/929234/product/STRLP082.jpg,2723,Somewhere Press,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2723
