,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,lstefahizz2019,1,KZLK,"LSTEFA (Hizz, 2019)","KZLK

            —
            LSTEFA (Hizz, 2019)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2087,Jessica Ekomane,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2087
1,marylouwilliamssmithsonianfolkwaysrecordings1964,2,Mary Lou Williams,"Mary Lou Williams (Smithsonian Folkways Recordings, 1964)","Mary Lou Williams

            —
            Mary Lou Williams (Smithsonian Folkways Recordings, 1964)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2087,Jessica Ekomane,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2087
2,6-30-33-372-n-3-22-0-66-e,3,Emeka Ogboh,6°30′33.372″N 3°22′0.66″E,"Emeka Ogboh

              —
              6°30′33.372″N 3°22′0.66″E
            
              (Danfotronics)",Danfotronics,"Immersive, sonic-psychogeographic/deep topographic readings of Lagos, Nigeria by its native artist and breakthru star of Berghain’s A-Ton Emeka Ogboh, now kicking off his Danfotronics label with a properly sick session highly recommended if yr into owt from Shackleton to the MvO Trio.

Titled by coordinates for the Ojuelegba bus station and former shine in... more",/products/6-30-33-372-n-3-22-0-66-e,https://assets.boomkat.com/spree/products/820336/product/EMEKA_distribution-preview.jpg,2087,Jessica Ekomane,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2087
3,landofkushfeatnadahelshazlytrackfromthealbumsandenigmaconstellation2019,4,Trema,"Land of Kush feat. Nadah el Shazly (track from the album Sand Enigma, Constellation, 2019)","Trema

            —
            Land of Kush feat. Nadah el Shazly (track from the album Sand Enigma, Constellation, 2019)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2087,Jessica Ekomane,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2087
4,selected-improvisations-from-golha-pt-i,5,Morteza Mahjubi,"Selected Improvisations from Golha, Pt. I","Morteza Mahjubi

              —
              Selected Improvisations from Golha, Pt. I
            
              (Death Is Not The End)",Death Is Not The End,"Disarmingly haunted recordings of piano tuned to fit the Persian classical scale; without knowing what instrument was being played you'd likely mistake it for a santur, while the ferric recording process disintegrates the sound with the resonant intention of Basinski. Incredible, really.

Morteza Mahjubi developed a special tuning system to allow him to play the... more",/products/selected-improvisations-from-golha-pt-i,https://assets.boomkat.com/spree/products/768421/product/5050580772977.jpg,2087,Jessica Ekomane,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2087
5,selected-improvisations-from-golha-pt-ii,6,Morteza Mahjubi,"Selected Improvisations from Golha, Pt. II","Morteza Mahjubi

              —
              Selected Improvisations from Golha, Pt. II
            
              (Death Is Not The End)",Death Is Not The End,"Second volume of utterly transfixing recordings made in Iran between 1956-1965, featuring Morteza Mahjubi using Persian microtonal scales to play traditionally European instrumentation, primarily the piano. Incredible work that hits somewhere between Harry Partch, Moondog and Dariush Dolat-Shahi.

Morteza Mahjubi's sound was developed from his special... more",/products/selected-improvisations-from-golha-pt-ii,https://assets.boomkat.com/spree/products/786278/product/5050580778085.jpg,2087,Jessica Ekomane,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2087
6,xkatedral-anthology-series-i,7,Various Artists.,XKatedral Anthology Series I,"Various Artists.

              —
              XKatedral Anthology Series I
            
              (XKatedral)",XKatedral,XKatedral Anthology I is the first in a series of archival releases dedicated to presenting music by XKatedral affiliated composers working within the realm of slowly evolving harmonic and timbral music. This double-vinyl set contains an array of pieces dating from 2010 - 2020. Four of the works included here were originally released on cassette tape early on... more,/products/xkatedral-anthology-series-i,https://assets.boomkat.com/spree/products/799984/product/XK020_Cover.jpg,2087,Jessica Ekomane,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2087
7,membaladakankeselamatanselfreleased2021,8,Senyawa,"Membaladakan Keselamatan (self-released, 2021)","Senyawa

            —
            Membaladakan Keselamatan (self-released, 2021)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2087,Jessica Ekomane,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2087
8,estorias-para-voz-instrumentos-acusticos-e-eletronicos,9,Jocy De Oliveira,"Estórias for Voice, Acoustic and electronic Instruments","Jocy De Oliveira

              —
              Estórias for Voice, Acoustic and electronic Instruments
            
              (Blume)",Blume,"The legendary debut of Jocy De Oliveira - and a landmark classic from the 70s Brazlian Electronic music scene. To quote Keith Fullerton Whitman, this is the ""lost Tropicalia / Psych / free-Vocal / Ring-Modulator freakout / jam hybrid that you’ve only dreamt about!"" 

""It is difficult to overstate the importance of Jocy De Oliveira. While she remains a widely... more",/products/estorias-para-voz-instrumentos-acusticos-e-eletronicos,https://assets.boomkat.com/spree/products/433153/product/Screen_Shot_2017-07-10_at_10.25.42.png,2087,Jessica Ekomane,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2087
9,urvakanfestivalacollectivememoirselfreleased2022,10,Various,"Urvakan Festival, A Collective Memoir (self-released, 2022)","Various

            —
            Urvakan Festival, A Collective Memoir (self-released, 2022)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2087,Jessica Ekomane,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2087
10,apologizetothefuturetrackfromalbumofthesamenamekevorkianperlonrecords2020,11,Chris Korda,"Apologize to the Future (track from album of the same name, Kevorkian / Perlon Records, 2020)","Chris Korda

            —
            Apologize to the Future (track from album of the same name, Kevorkian / Perlon Records, 2020)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2087,Jessica Ekomane,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2087
11,atlanticsmovie2019,12,Mati Diop,Atlantics (movie - 2019),"Mati Diop

            —
            Atlantics (movie - 2019)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2087,Jessica Ekomane,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2087
