,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,terminal-b7268299-2ff6-4404-b23c-6883ae746689,1,ZULI,Terminal,"ZULI

              —
              Terminal
            
              (UIQ)",UIQ,"Electronic prism-pusher Zuli explores themes of identity, both hyperlocal and global, in ‘Terminal’; his singular and definitive artistic statement for Lee Gamble’s UIQ. 

Expanding his sound to encompass melancholic ambient composition and grimy rap from prominent MC, Abyusif, as well as newcomers Abanoub, Mado $am and R-Rhyme, and mysterious... more",/products/terminal-b7268299-2ff6-4404-b23c-6883ae746689,https://assets.boomkat.com/spree/products/538739/product/Dist_Prev.jpg,746,Annex,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/746
1,in-silhouette-7ba8656b-3485-4fb7-b61a-4db31cc21812,2,Veronica Vasicka,In Silhouette,"Veronica Vasicka

              —
              In Silhouette
            
              (Downwards)",Downwards,"Pivotal, peerless DJ/selector and Minimal Wave overse’er Veronica Vasicka serves her solo debut on Downwards in ‘From Here’, a dank industrial-pop workout recorded in 2004 and now issued for the first time, backed with sick remixes by Regis, Paul Kendall (Depeche Mode, Nitzer Ebb) and Robert Hampson (Loop, Main) in his lesser-spotted Chasm... more",/products/in-silhouette-7ba8656b-3485-4fb7-b61a-4db31cc21812,https://assets.boomkat.com/spree/products/547216/product/8718723113779.jpg,746,Annex,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/746
2,volitionimmanent,3,Volition Immanent,Volition Immanent,"Volition Immanent

            —
            Volition Immanent",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,746,Annex,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/746
3,biawhipitv1984editexhibition,4,v1984,BIA-Whip It (v1984 Edit) - Exhibition,"v1984

            —
            BIA-Whip It (v1984 Edit) - Exhibition",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,746,Annex,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/746
4,kodiak-translocated,5,Szare,Kodiak / Translocated,"Szare

              —
              Kodiak / Translocated
            
              (Different Circles)",Different Circles,"Blinding technoid fusions of flashcore and Techno at 130bpm on the surprise 7th release on Mumdance & Logos’ Different Circles label, RIYL Sleeparchive, La Peste, Shed, Chevel...

Different Circles round off two techno killers nearly 10 years since Szare’s coded conception as 19.26.1.18.5 for Horizontal Ground to reaffirm their unique position within experimental... more",/products/kodiak-translocated,https://assets.boomkat.com/spree/products/497976/product/DC_3000.jpg,746,Annex,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/746
5,burningdirty,6,Stellar OM Source,Burning / Dirty,"Stellar OM Source

            —
            Burning / Dirty",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,746,Annex,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/746
6,liveatgoogledatacenter,7,Sam Kidel,Live at Google Data Center,"Sam Kidel

            —
            Live at Google Data Center",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,746,Annex,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/746
7,respondent-61d4d660-f9dc-4f05-8a97-e09353341ac7,8,Russell Haswell,Respondent,"Russell Haswell

              —
              Respondent
            
              (Diagonal)",Diagonal,"Russell Haswell runs amok for Diagonal on a zinging 5-track “mini-LP” featuring, for the first time on a Haswell record, vocals; by performance artist Sue Tompkins ov Glasgow’s Life Without Buildings. 

Taking cues from his formative teenage years listening to John Peel and discovering Factory, Mute and 4AD and Chicago house - prior to stints as a Christian... more",/products/respondent-61d4d660-f9dc-4f05-8a97-e09353341ac7,https://assets.boomkat.com/spree/products/472679/product/647603400242.jpg,746,Annex,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/746
8,ravedit,9,Rian Treanor,RAVEDIT,"Rian Treanor

              —
              RAVEDIT
            
              (The Death Of Rave)",The Death Of Rave,"Rian Treanor returns with a whitelabel 12” featuring hyper spins on ’80s synth-pop, Lollywood soundtracks and ’90s Eurodance, rendered in his inimitable, disruptive style...

Across four radical edits, familiar and obscure ohrwurms are dissected and flipped in thrilling new ways, rendering razor sharp and playfully nutty updates of Eurodance... more",/products/ravedit,https://assets.boomkat.com/spree/products/515702/product/RAVE017_dist-preview.jpg,746,Annex,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/746
9,ramos-ed97e2a6-6cd1-498d-9925-699be095e191,10,Ploy,Ramos,"Ploy

              —
              Ramos
            
              (Timedance)",Timedance,"Ploy keeps it dry and funky, UK style, with the rolling pressure of Ramos 

Whereas Roy’s Rolls sustains a perpetual snare roll from start to finish on a smart exercise in tension and deferred gratification.

 

            more",/products/ramos-ed97e2a6-6cd1-498d-9925-699be095e191,https://assets.boomkat.com/spree/products/508375/product/5055869530309_T3_Image.jpg,746,Annex,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/746
