,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,hilja,1,Cucina Povera,Hilja,"Cucina Povera

              —
              Hilja
            
              (Night School / Domestic Exile)",Night School / Domestic Exile,"Hilja is the sublimely half-there debut of dream pop from Glasgow-based Finnish artist Maria Rossi a.k.a. Cucina Povera. Taking her name from the southern Italian method of making-do in the kitchen, Cucina Povera works just as well to describe Rossi’s unusual, off-kilter mix of avant-garde abstraction, medieval-sounding folk and synthesised nocturnal... more",/products/hilja,https://assets.boomkat.com/spree/products/470046/product/647603399980.jpg,723,Carla Dal Forno,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/723
1,all-aboard-c78905d1-0091-4a08-837c-b4c2d0df43e3,2,Traffic Island Sound,All Aboard,"Traffic Island Sound

              —
               All Aboard
            
              (Another Dark Age)",Another Dark Age,"London’s ADA drop your RDA ov tweetronic pop with Traffic Island Sound’s All Aboard, starring the naif vocals of P.P. Rebel, backed with one radiophonic vignette and a proper psyche-pop charm.

The lysergic melt of All Aboard comes on like a long-lost ‘60s pop song dreamt by Stereolab’s children after a weekend training trip with a batch of hoffmans. The B-side... more",/products/all-aboard-c78905d1-0091-4a08-837c-b4c2d0df43e3,https://assets.boomkat.com/spree/products/476442/product/a0206182396_10.jpg,723,Carla Dal Forno,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/723
2,knutnanvar,3,Blod,Knutna Nävar,"Blod

            —
            Knutna Nävar",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,723,Carla Dal Forno,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/723
3,ahappyreturn,4,A Happy Return,A Happy Return,"A Happy Return

            —
            A Happy Return",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,723,Carla Dal Forno,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/723
4,two-rooms-30bf97ac-a9c3-4b80-800c-66c681ba103d,5,Klon Dump,Two Rooms,"Klon Dump

              —
              Two Rooms
            
              (No Corner)",No Corner,"Klon Dump, an artist located in Berlin, known for his monthly Cashmere Radio interruptions and a collection of deft, pacey trax served on a double disc via A Colourful Storm last year, as well as recent excursions under a different alias, is now about to make his mark on NoCorner with a 32 minute and 19 second delivery of cold 'electro-acoustics...

            more",/products/two-rooms-30bf97ac-a9c3-4b80-800c-66c681ba103d,https://assets.boomkat.com/spree/products/526037/product/5050580700277.jpg,723,Carla Dal Forno,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/723
5,themissingevidence,6,Lolina,The Missing Evidence,"Lolina

            —
            The Missing Evidence",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,723,Carla Dal Forno,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/723
6,dapaoefeningkunstbaardtinrotterdam,7,How To Get Rich In Rotterdam,D. A. P. A. / Oefening Kunstbaardt in Rotterdam,"How To Get Rich In Rotterdam

            —
            D. A. P. A. / Oefening Kunstbaardt in Rotterdam",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,723,Carla Dal Forno,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/723
7,left-hand-93ac5536-8660-4d68-89e1-9c46126b0b76,8,Vital Idles,Left Hand,"Vital Idles

              —
              Left Hand
            
              (Upset The Rhythm)",Upset The Rhythm,,/products/left-hand-93ac5536-8660-4d68-89e1-9c46126b0b76,https://assets.boomkat.com/spree/products/505472/product/5051142081964.jpg,723,Carla Dal Forno,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/723
8,old-and-red,9,Thomas Bush,Old and Red,"Thomas Bush

              —
              Old and Red
            
              (Men Scryfa)",Men Scryfa,"Thomas Bush secretes olde en-gland folk plasma in ‘Old and Red’, a true eldritch beauty for his Men Scryfa label, who issued the earliest John T. Gast material. JTG fans will surely approve, as will lovers of early Eyeless in Gaza, and early transmissions from Hen Ogledd

“A strange and compulsive breadcrumb trail...a game of two halves, as well: the first... more",/products/old-and-red,https://assets.boomkat.com/spree/products/552636/product/R-12803534-1542259917-5905.jpeg.jpg,723,Carla Dal Forno,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/723
9,lighthouse-a9bce3b2-9bb3-44c9-b9b6-aba9bfce70f1,10,Gossiwor (John T Gast & Boli),Lighthouse,"Gossiwor (John T Gast & Boli)

              —
              Lighthouse 
            
              (5 Gate Temple)",5 Gate Temple,"John T Gast and MC Boli operate at the apex of their esoteric powers on ‘Lighthouse’ for 5 Gate Temple, following Young Druid’s addictive début with an expansive, immersive suite highlighting unique intersections of new age ambient, jazz, avant-classical and arcane folk music 

As Gossiwor, Gast and Boli share a remarkably intuitive mutualism on Lighthouse... more",/products/lighthouse-a9bce3b2-9bb3-44c9-b9b6-aba9bfce70f1,https://assets.boomkat.com/spree/products/515380/product/5GT004_Cover.jpg,723,Carla Dal Forno,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/723
